epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,554.657,1.92567,2.91629,1.74735,0.38532,0.3585,0.32009,0.14652,1.95402,2.44589,1.68496,0.00332937,0.00332937,0.00332937
2,1091.62,1.82922,2.16801,1.62956,0.42084,0.34496,0.30733,0.13874,1.99448,2.6239,1.79473,0.00653078,0.00653078,0.00653078
3,1622.96,1.92718,2.3677,1.73997,0.28095,0.25851,0.18582,0.07684,2.26793,3.05624,2.12922,0.00960019,0.00960019,0.00960019
4,2156.28,1.99914,2.49901,1.8242,0.39,0.29985,0.26809,0.11646,2.10839,2.7597,1.9228,0.009406,0.009406,0.009406
5,2689.04,1.89501,2.30036,1.75189,0.39692,0.37753,0.32629,0.15214,1.96113,2.40559,1.81661,0.009208,0.009208,0.009208
6,3221.36,1.86269,2.21906,1.73372,0.45471,0.37365,0.35412,0.17273,1.90597,2.29645,1.78245,0.00901,0.00901,0.00901
7,3752.01,1.81298,2.10973,1.6839,0.49636,0.4052,0.40067,0.19163,1.88354,2.19842,1.72628,0.008812,0.008812,0.008812
8,4282.6,1.77732,2.0407,1.66703,0.48446,0.42553,0.42034,0.20645,1.8342,2.14171,1.68962,0.008614,0.008614,0.008614
9,4813.84,1.76379,2.01158,1.65335,0.50468,0.41993,0.41866,0.20872,1.82837,2.20795,1.69549,0.008416,0.008416,0.008416
10,5345.02,1.73264,1.96184,1.62927,0.55148,0.45063,0.47137,0.23847,1.77722,1.96791,1.65612,0.008218,0.008218,0.008218
11,5875.95,1.71747,1.92009,1.61885,0.54042,0.48132,0.48128,0.24284,1.73835,1.98831,1.63229,0.00802,0.00802,0.00802
12,6408.28,1.69283,1.87724,1.6002,0.55155,0.49138,0.50292,0.26189,1.71506,1.89406,1.60511,0.007822,0.007822,0.007822
13,6940.14,1.69355,1.85098,1.59779,0.57106,0.48799,0.51119,0.26567,1.71069,1.89232,1.60364,0.007624,0.007624,0.007624
14,7473.91,1.6848,1.81323,1.58599,0.58392,0.50284,0.52774,0.27994,1.68932,1.8431,1.57055,0.007426,0.007426,0.007426
15,8005.75,1.66117,1.80089,1.5687,0.59021,0.51767,0.54317,0.28454,1.68805,1.78016,1.5718,0.007228,0.007228,0.007228
16,8537.53,1.65165,1.76133,1.56421,0.58891,0.52686,0.54961,0.29039,1.67601,1.79716,1.57468,0.00703,0.00703,0.00703
17,9068.49,1.64185,1.75131,1.55836,0.60248,0.52705,0.55594,0.2954,1.67813,1.74782,1.57445,0.006832,0.006832,0.006832
18,9599.88,1.61331,1.72329,1.54057,0.60895,0.52838,0.56663,0.30214,1.65654,1.72367,1.55849,0.006634,0.006634,0.006634
19,10130.5,1.61351,1.69999,1.53179,0.61483,0.53841,0.57377,0.30815,1.66655,1.69145,1.55122,0.006436,0.006436,0.006436
20,10663.8,1.61066,1.67674,1.52444,0.61672,0.55063,0.58042,0.31501,1.65016,1.68523,1.55041,0.006238,0.006238,0.006238
